song_id,title,artist,period,primary_genre,confidence,reason,identity_primary,review,identity_review,review_note,review_source
song_2a3953597d688379e71b767ebc79b4af84ffca3393c4c171a0ba1d8a07cc6143,Flames Of Paradise,Jennifer Rush (Duet With Elton John),1980s,Pop,medium,"No tags are supplied, but the identifiable Jennifer Rush and Elton John duet is an adult-contemporary pop power ballad with some rock presentation.",Pop,plausible,plausible,The vocal pop duet fits Pop; a rock secondary is a plausible crossover rather than another identity.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_37a4d0085f53ce98da3e9da4fd8efabcd01ec5858244c84d6a9a6e65d9571e36,Shame On The Moon,Bob Seger & The Silver Bullet Band,1980s,Rock,high,"Recording tags strongly support rock through classic rock, arena rock, AOR and rock and roll, with only a pop-rock crossover tag.",Rock,plausible,plausible,Seger's country-tinged soft-rock performance can reasonably be grouped under Rock.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_3ca88c9e8b2161349011007ad239679e4bc93295b2b1c8da6349c2b8efee676c,Got A New Love,Good Question,1980s,R&B / Soul,low,"No tags are supplied and the song is less familiar; the artist/title point plausibly to late-1980s new jack swing or R&B-pop, but the basis is sparse.",,questionable,,The Good Question assignment relies on limited act/context knowledge; low confidence is appropriate.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_6063e3caaf6f18469a7a32f76f64fd10bc58b26e3b16a50159463c8e00ed62dc,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1980s,Pop,high,"Recording tags heavily support pop and dance-pop, with R&B, synth-pop and disco/electronic crossover also present for this identifiable Whitney Houston single.",Pop,plausible,plausible,Houston's dance-pop recording supports Pop with R&B/Dance secondary.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_63e9f093b529ca7dc0ea22959a6c2ea68205186ed2e11a507c43fd4b6f41f7cd,I Feel For You,Chaka Khan,1980s,R&B / Soul,high,"The identifiable Chaka Khan recording is an R&B/funk/dance-pop crossover; recording tags support R&B, soul, funk, disco, electronic, and pop.",,plausible,,R&B/Soul corrects the tag method's generic Pop preference; the Grammy R&B recognition supports this interpretation.,https://www.grammy.com/video/27th-annual-grammy-awards-best-rb-vocal-performance-female/
song_6f65db831f5b81a145522b7a18009f08d47f4266b495ad005a98f0b26502cbfa,Billie Jean,Michael Jackson,1980s,Pop,high,"The identifiable recording is a pop and dance-pop landmark, with supplied recording tags for pop, dance, and electronic plus artist-level R&B context.",,plausible,,Jackson's pop-funk/R&B crossover permits Pop as the primary without erasing Soul.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_7f17c5f47f796d23f576dedac48e1949b4283368dfb3759ef2cafe4d9afc101e,Fast Car,Tracy Chapman,1980s,Folk / Singer-Songwriter,high,"The identifiable recording and supplied tags emphasize acoustic folk, contemporary folk, folk rock, and singer-songwriter, with rock and alternative crossover also present.",,plausible,,Chapman's acoustic narrative song fits Folk/Singer-Songwriter; Alternative as secondary is less directly established.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_8d9c40bf4217be87f81553c767a758b3a61eb09dda1b2339858cf9dee29bc0ad,Black Kisses Never Make You Blue,Curtie & The Boom Box,1980s,Other,low,No genre evidence is supplied and the recording is not identifiable enough from learned knowledge for a defensible taxonomy choice.,Pop,clearly wrong,plausible,Other misses the identifiable techno-pop recording; B's Pop is supported by a recording-specific discographical description.,https://www.allbutforgottenoldies.net/bands-and-artists/info.php?id=curtie-and-the-boombox
song_a7197574545e330517462fa119faa8564536ede13d65ed7f397ab96866e5d2de,Lost In Your Eyes,Debbie Gibson,1980s,Pop,high,"Identifiable Debbie Gibson ballad; supplied recording tags strongly include pop, teen pop, adult contemporary and synth-pop, with electronic tags secondary to the pop style.",Pop,plausible,plausible,"Gibson's pop ballad is appropriately Pop, but an Electronic/Dance secondary looks inherited rather than recording-specific.",Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_ac8908e6477aa0b8e5a5508c55ed0629bbaaa43222d170a0e5535926bb7822cd,Only You,Commodores,1980s,R&B / Soul,medium,"Supplied recording tags point to soul, funk and disco, but the exact Commodores song identity is less genre-specific from the evidence alone.",R&B / Soul,plausible,plausible,"The Commodores vocal R&B context makes the primary reasonable, though medium confidence is preferable to certainty.",Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_b1a2b84699a4afb78d78ad97d5f9ff3ce547156effb3af5995b3438999fa9aec,Purple Rain,Prince And The Revolution,1980s,Rock,high,"Identifiable Prince and the Revolution recording is a rock power ballad with soul/funk elements; supplied tag only notes funk, so Rock is based on known song style.",,plausible,,Prince's rock power ballad supports Rock while preserving its soul crossover.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_bdf18fbf0f81014f6199818f0ebbac82f4fdf58c0b052ae21b76f4c8fcbb9941,Help Me!,Marcy Levy & Robin Gibb,1980s,Pop,low,"No tags were supplied, and the Marcy Levy and Robin Gibb identity gives only limited basis; Pop is a tentative fit from known late-1980 pop context.",Pop,questionable,questionable,"The duet's Pop label is plausible, but neither arm provides enough verified song-specific detail for a firm judgment.",Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_c3b9d3c672c8b278cfd7b9a8973ccff8efc354d2c72736f95e335d65197f9958,Glory Days,Bruce Springsteen,1980s,Rock,high,"Identifiable Bruce Springsteen track is a mainstream heartland rock song; no tags were supplied, so the choice rests on learned song knowledge.",Rock,plausible,plausible,Springsteen's rock recording is a straightforward fit.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_eae2b284073d876fe50a3dc3452c44d09dd57c12fa59acdd7632ca003a06fd9b,Livin' On A Prayer,Bon Jovi,1980s,Rock,high,"Recording tags strongly support hard rock, glam metal, pop rock, arena rock, and rock; learned knowledge matches a mainstream rock anthem with metal-adjacent elements.",,plausible,,Bon Jovi's hard-rock anthem fits Rock; Metal as a secondary reflects a genuine boundary.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_f3db26fdd2abc5385af52b80b038797c179c169cb90f041d2bca07aad77c9d95,Planet Rock,Afrika Bambaataa & The Soul Sonic Force,1980s,Hip-Hop / Rap,high,"Identifiable Afrika Bambaataa track is foundational electro hip-hop; no tags were supplied, but learned musical knowledge strongly supports hip-hop with electronic dance elements.",Hip-Hop / Rap,plausible,plausible,Electro-rap supports Hip-Hop primary and Electronic/Dance secondary.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_f4457b8e049ddee44b2410adfdbf5bcd669b1c58db55fba1ffb6e7eb0bfa2e42,Pump Up The Jam,Technotronic Featuring Felly,1980s,Electronic / Dance,high,"Identifiable Technotronic hit is a dance/house-oriented club track; no tags were supplied, but learned knowledge clearly supports electronic dance as primary.",Electronic / Dance,plausible,plausible,The house/dance recording is more specific than generic pop or rap alone.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_f62b2b6113fad8aa92dfa0b6ad2a8b8f581c0ee3fd8c4781be8a3af5247212dd,Red Red Wine,UB40,1980s,Reggae / Dancehall,high,"Recording tags strongly support reggae, dub, ska, pop reggae, and reggae-pop; learned knowledge also identifies this version as pop-reggae crossover.",,plausible,,UB40's reggae treatment is correctly distinguished from the original songwriter's style.,existing recording identity and learned musical knowledge; no new lookup
song_ff30746ebc21ca46bb47e0b7741190ab7516d361cbc9bb685bf80c40a546a54c,Walk This Way,Run-D.M.C.,1980s,Hip-Hop / Rap,high,Recording tags strongly support hip hop and rap alongside rock and hard rock; learned knowledge confirms this Run-D.M.C. version as rap rock crossover.,,plausible,,"The Run-D.M.C. recording is a rap-rock crossover, not merely the earlier Aerosmith song.",Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
